1,2309.99389352763,40293.29438613672,66,6
2,3979.186539691902,40293.29438613672,66,67
3,3468.655992789156,39872.46925619901,6,67
4,2672.175217787677,39514.34651232737,6,5
5,7808.90304317727,40293.29438613672,73,72
6,5184.870297226336,39564.30834439009,67,72
7,2711.716092153685,36516.0533724071,69,71
8,6683.403941290889,37342.43637940173,68,55
9,7705.729300466628,38031.89024576353,72,55
10,5019.641915792308,36516.0533724071,68,71
11,12238.60450435479,40487.82163744548,76,74
12,9793.254851529491,40487.82163744548,65,74
13,11615.55422433,38031.89024576353,74,55
14,12688.35033406798,36098.82734925724,55,54
15,9493.008457913791,34028.11331924217,55,20
16,6683.403941290889,31885.26322055488,70,20
17,14027.94526451969,40501.03773402838,75,77
18,16194.28150497947,40501.03773402838,80,77
19,17105.60376332022,40501.03773402838,79,81
20,15659.18860262632,38031.89024576353,77,54
21,19510.05273996267,40501.03773402838,78,81
22,21681.89974790688,42045.29446048518,64,86
23,22693.09325156958,38031.89024576353,82,162
24,21160.78456849241,41026.83126796011,64,82
25,25686.05091833133,42070.7072509938,85,84
26,26185.4162188193,41026.83126796011,84,87
27,25727.39652303359,38031.89024576353,87,161
28,28943.94827794272,40503.14884511474,90,91
29,32199.91276097633,40503.14884511474,112,91
30,31603.56019860308,38031.89024576353,91,161
31,35288.25094752299,40501.03929898082,108,113
32,39231.22319938548,40501.03929898082,111,113
33,38645.32106312318,38031.89024576353,113,160
34,40111.12785370214,40501.03929898082,126,135
35,43642.3497126821,40501.03929898082,125,135
36,44776.46847820098,38031.89024576353,135,159
37,47885.26125769471,40501.03773402843,124,134
38,51191.79770386216,40501.03773402843,150,134
39,50646.07667260224,38031.89024576353,134,159
40,52100.07048211156,40501.03773402843,149,151
41,55420.4317052264,40501.03773402843,148,151
42,56506.24709654346,38031.89024576353,151,158
43,59887.52959350936,38031.89024576353,166,158
44,54185.7256798062,35975.73519834674,159,158
45,55400.90492110225,34021.22668089112,158,147
46,59456.94473092218,32103.409608434,152,157
47,56684.12674821684,31903.88736684462,147,152
48,59456.94473092218,33338.58466297032,152,155
49,54185.7256798062,33272.56123081163,153,147
50,51683.62794693793,30063.93519686598,133,145
51,49133.00533842496,33664.53532597276,123,137
52,47213.94789945424,34023.82106523471,159,123
53,46966.66519843347,32662.11783609889,123,121
54,48880.86845268771,32662.11783609889,123,122
55,49133.00533842496,31833.59228906121,122,136
56,48677.32323605094,31822.35445061071,121,122
57,47570.27003716319,31024.30797827416,121,146
58,46110.72739528146,31024.30797827416,121,118
59,48677.32323605094,28683.7327005531,146,133
60,50829.36409168908,27962.8176151521,133,128
61,47511.47819343503,27962.8176151521,146,128
62,46683.97533311956,29702.1207869932,118,146
63,45586.85404677401,27962.8176151521,118,129
64,44683.97533311955,29676.88876025738,119,118
65,42687.30913399354,28725.48579782659,165,119
66,43778.90655245341,27963.71572888039,119,130
67,40507.62483927275,27963.71572888039,165,130
68,42108.39114674524,24526.8312679602,130,131
69,49124.12530938236,24526.8312679602,128,132
70,45683.22342216129,33257.56510156156,164,123
71,52928.7264009563,25169.59909118333,144,143
72,54178.61333375908,23543.66480694301,143,147
73,53003.32152952105,21463.11331924216,143,141
74,51683.62794693793,21679.39145482553,127,143
75,51683.62794693793,19804.98985374046,127,141
76,53153.06842188721,18023.19650028564,141,142
77,39683.97533337841,20008.58118550162,115,127
78,40679.40437547044,18023.19650028564,127,120
